step,reward_mean,kl,mean_length,eval_reward_mean,eval_mean_length
74,1.1875,-0.00014088768512010574,556.625,,
75,0.8125,0.004024020861834288,111.75,,
76,-0.8125,0.006344170309603214,363.625,,
77,0.0,0.0017995096277445555,170.625,,
78,1.0,0.0066698347218334675,177.0,,
79,3.625,0.000134746907860972,159.625,,
80,-0.3125,0.02548552304506302,124.5,,
81,0.125,0.005090805236250162,425.25,,
82,1.75,0.0009677315829321742,258.0,,
83,3.5,0.012247847393155098,130.5,,
84,-0.125,0.028945477679371834,258.625,,
85,4.375,0.010171175003051758,117.75,,
86,7.125,0.08648782968521118,203.875,,
87,9.0,0.028132721781730652,173.375,,
88,3.75,0.032171282917261124,313.875,,
89,1.0,0.017126955091953278,156.375,,
90,6.1875,0.011819444596767426,213.625,,
91,6.6875,0.021860603243112564,255.125,,
92,0.125,0.01949131488800049,249.875,,
93,1.5,0.014482911676168442,82.5,,
94,-0.25,0.03545466810464859,632.125,,
95,4.59375,0.003544633276760578,190.25,,
96,6.625,0.020132193341851234,126.625,,
97,8.9375,0.07431662082672119,126.875,,
98,2.5625,0.045263320207595825,172.625,,
99,2.25,0.03699120506644249,363.5,,
100,4.1875,0.013298268429934978,194.625,,
101,3.75,0.009240279905498028,204.25,,
102,5.6875,0.03833833336830139,178.125,,
103,5.0625,0.07511097192764282,121.875,,
104,3.0625,0.0909726470708847,231.5,,
105,1.375,0.02976730838418007,527.25,,
106,8.25,0.0015664356760680676,156.25,,
107,0.5,0.028583260253071785,223.25,,
108,2.75,0.005096408072859049,184.75,,
109,8.4375,0.057283345609903336,149.375,,
110,-0.375,0.03826223686337471,549.75,,
111,7.0625,0.0047860112972557545,165.25,,
112,3.5,0.05646785721182823,90.125,,
113,6.4375,0.08058644831180573,195.75,,
114,4.375,0.041461918503046036,222.25,,
115,4.875,0.03189155459403992,159.0,,
116,1.25,0.06047534570097923,389.75,,
117,5.25,0.01861758716404438,258.0,,
118,7.375,0.027509376406669617,229.0,,
119,4.1875,0.017916211858391762,375.75,,
120,0.875,0.0328732393682003,525.125,,
121,0.8125,0.011032815091311932,708.375,,
122,1.375,0.0068086739629507065,581.75,,
123,7.4375,0.00726277893409133,156.75,,
124,9.75,0.02701365016400814,149.75,,
125,5.1875,0.046729009598493576,324.125,,
126,9.0,0.0207199864089489,147.0,,
127,9.0,0.08460643142461777,231.625,,
128,0.375,0.04119647294282913,611.125,5.532252788543701,243.38870239257812
129,2.96875,0.03319685533642769,201.125,,
130,3.09375,0.08851742744445801,374.375,,
131,2.4375,0.05539507046341896,338.625,,
132,7.9375,0.0040562767535448074,278.375,,
133,4.125,0.014307201839983463,245.25,,
134,1.8125,0.019218336790800095,216.5,,
135,8.375,0.04387285187840462,96.75,,
136,4.34375,0.07895241677761078,113.125,,
137,8.5,0.019694672897458076,188.375,,
138,7.125,0.04182545468211174,297.375,,
139,5.6875,0.03275756165385246,229.0,,
140,5.53125,0.035402677953243256,151.5,,
141,1.4375,0.037816472351551056,401.875,,
142,2.4375,0.00260366452857852,527.875,,
143,4.125,0.007852986454963684,323.125,,
144,5.34375,0.028130000457167625,195.625,,
145,5.34375,0.05810290947556496,174.375,,
146,3.75,0.0227529164403677,254.0,,
147,4.5,0.016377603635191917,170.875,,
148,7.9375,0.03481394797563553,198.625,,
149,4.9375,0.03860839828848839,235.5,,
150,7.1875,0.02062755636870861,192.25,,
151,8.8125,0.037395063787698746,179.75,,
152,5.5,0.053372230380773544,162.375,,
153,4.375,0.05068869888782501,258.875,,
154,1.875,0.03820548206567764,94.5,,
155,2.28125,0.062065090984106064,300.125,,
156,2.625,0.020499713718891144,490.625,,
157,9.46875,0.014821980148553848,109.5,,
158,5.75,0.07656539976596832,289.5,,
159,3.9375,0.031590890139341354,179.75,,
160,5.78125,0.10688646882772446,202.25,,
161,9.25,0.05555738881230354,217.5,,
162,1.75,0.09855057299137115,121.5,,
163,4.8125,0.05289490520954132,161.625,,
164,7.8125,0.03652827441692352,288.25,,
165,5.59375,0.05735814571380615,305.875,,
166,7.4375,0.015062554739415646,213.125,,
167,6.03125,0.05626984313130379,176.375,,
168,3.125,0.10498817265033722,362.75,,
169,5.25,0.0321861170232296,257.0,,
170,4.5,0.04421158879995346,113.875,,
171,7.75,0.15204882621765137,247.625,,
172,5.34375,0.027009855955839157,187.5,,
173,3.75,0.051031555980443954,131.75,,
174,8.5,0.10287976264953613,238.375,,
175,2.625,0.03158405423164368,426.875,,
176,4.1875,0.01801842264831066,295.0,,
177,4.71875,0.017941197380423546,314.5,,
178,5.25,0.028752252459526062,162.75,,
179,4.125,0.051720473915338516,238.375,,
180,6.125,0.03234861046075821,419.875,,
181,4.625,0.040253300219774246,169.0,,
182,4.5,0.054029520601034164,197.75,,
183,10.0,0.0406326986849308,202.125,,
184,5.25,0.04884452745318413,337.0,,
185,8.25,0.014889608137309551,127.875,,
186,7.5,0.05675783008337021,150.625,,
187,3.875,0.07854118198156357,314.375,,
188,7.9375,0.015483569353818893,267.125,,
189,10.0,0.03401023522019386,197.625,,
190,8.40625,0.06400834769010544,121.375,,
191,4.875,0.08186224848031998,311.5,,
192,9.125,0.027733514085412025,274.625,6.597509860992432,234.6156463623047
193,0.75,0.034116778522729874,625.75,,
194,5.625,0.011926952749490738,245.5,,
195,4.5,0.04669654369354248,193.75,,
196,5.875,0.04924650862812996,137.75,,
197,10.0,0.06209224835038185,178.125,,
198,8.0625,0.03533823415637016,224.0,,
199,9.3125,0.04008450731635094,143.5,,
200,10.0,0.1271064728498459,207.5,,
201,7.8125,0.04037317633628845,203.375,,
202,8.625,0.01758885197341442,149.75,,
203,6.4375,0.06201647222042084,118.5,,
204,6.625,0.07375195622444153,144.875,,
205,8.8125,0.07450053095817566,256.5,,
206,4.125,0.03599953278899193,276.0,,
207,6.59375,0.04380717873573303,184.75,,
208,4.8125,0.10119494795799255,167.375,,
209,9.1875,0.07238828390836716,160.875,,
210,7.875,0.05091191083192825,85.125,,
211,10.0,0.12931333482265472,89.0,,
212,5.875,0.05869901925325394,329.375,,
213,8.09375,0.031485553830862045,257.875,,
214,3.0,0.02306673675775528,313.875,,
215,10.0,0.01571694016456604,216.75,,
216,10.0,0.04884516820311546,106.5,,
217,5.9375,0.058365970849990845,215.0,,
218,8.625,0.029501406475901604,205.0,,
219,9.3125,0.047161996364593506,129.625,,
220,10.0,0.05399855226278305,181.125,,
221,3.875,0.03464876115322113,320.625,,
222,4.125,0.021024664863944054,87.0,,
223,0.8125,0.17687925696372986,700.375,,
224,4.875,0.007893863134086132,188.75,,
225,2.75,0.08610648661851883,608.5,,
226,10.0,0.011819157749414444,131.0,,
227,7.9375,0.059026118367910385,145.375,,
228,8.625,0.05855554714798927,265.25,,
229,7.9375,0.08013496547937393,195.5,,
230,6.6875,0.04523150995373726,146.0,,
231,8.625,0.1029660701751709,112.875,,
232,9.125,0.06697221100330353,159.0,,
233,3.3125,0.06521642953157425,346.375,,
234,8.625,0.03104456514120102,178.375,,
235,4.125,0.06381036341190338,305.375,,
236,8.9375,0.030903030186891556,133.375,,
237,7.1875,0.05180772766470909,170.25,,
238,4.125,0.04992978274822235,291.625,,
239,4.0,0.04832855239510536,314.25,,
240,7.25,0.04068409278988838,291.875,,
241,7.25,0.03907321020960808,131.375,,
242,10.0,0.0944368988275528,182.625,,
243,9.3125,0.06720000505447388,234.75,,
244,2.625,0.018858546391129494,448.25,,
245,4.84375,0.036748722195625305,310.25,,
246,7.9375,0.04249433055520058,181.0,,
247,3.03125,0.04851300269365311,400.25,,
248,4.21875,0.014285067096352577,290.75,,
249,4.5,0.03644141927361488,152.375,,
250,8.625,0.04454512894153595,167.0,,
251,5.5625,0.03882046416401863,342.875,,
252,7.9375,0.02574872598052025,188.0,,
253,4.5,0.060405291616916656,149.375,,
254,10.0,0.07818722724914551,203.625,,
255,6.5625,0.04087189584970474,141.75,,
256,6.5625,0.05239380523562431,211.625,6.728358745574951,235.3576202392578
257,7.5625,0.024720586836338043,157.375,,
258,3.78125,0.051584985107183456,412.875,,
259,3.25,0.00986623764038086,232.875,,
260,10.0,0.01678982563316822,115.5,,
261,2.625,0.03695060685276985,414.0,,
262,1.375,0.013135829009115696,548.875,,
263,5.375,0.01734570413827896,287.5,,
264,10.0,0.049526434391736984,184.625,,
265,7.25,0.05723068118095398,201.0,,
266,8.25,0.06113310903310776,126.625,,
267,6.5625,0.1927374303340912,224.0,,
268,7.25,0.04364372789859772,212.875,,
269,8.6875,0.038987185806035995,282.375,,
270,10.0,0.040614865720272064,165.875,,
271,3.625,0.13945631682872772,344.375,,
272,10.0,0.057863447815179825,200.375,,
273,3.3125,0.08717592060565948,452.25,,
274,9.3125,0.059218961745500565,104.875,,
275,10.0,0.14848680794239044,241.875,,
276,8.625,0.08099687099456787,174.625,,
277,10.0,0.048541147261857986,158.875,,
278,4.875,0.12025697529315948,419.875,,
279,4.5625,0.0619269534945488,115.0,,
280,9.3125,0.13091997802257538,162.375,,
281,9.1875,0.07176730036735535,144.5,,
282,10.0,0.0718446671962738,238.625,,
283,7.25,0.07179281115531921,151.0,,
284,4.8125,0.1585506945848465,210.625,,
285,8.125,0.09333604574203491,217.0,,
286,4.5,0.08462469279766083,386.0,,
287,5.375,0.017892589792609215,241.375,,
288,10.0,0.04410334676504135,197.0,,
289,10.0,0.041981469839811325,164.875,,
290,8.9375,0.09390862286090851,184.75,,
291,5.875,0.12742218375205994,155.375,,
292,5.1875,0.05542222410440445,196.5,,
293,5.75,0.049834661185741425,345.75,,
294,3.46875,0.0524764321744442,291.875,,
295,5.5625,0.098764568567276,351.25,,
296,4.625,0.06274508684873581,306.375,,
297,10.0,0.077573262155056,230.625,,
298,3.1875,0.02540372870862484,431.0,,
299,5.375,0.02642103284597397,209.0,,
300,8.5,0.15322783589363098,335.875,,
301,6.5625,0.07327411323785782,183.125,,
302,8.0,0.05165692791342735,291.625,,
303,9.3125,0.10100830346345901,171.875,,
304,4.5625,0.07409373670816422,178.75,,
305,5.625,0.11622067540884018,397.125,,
306,9.3125,0.05043013393878937,266.75,,
307,7.375,0.12552256882190704,356.875,,
308,4.5625,0.026694929227232933,223.0,,
309,5.1875,0.09087172150611877,210.625,,
310,10.0,0.09267221391201019,275.875,,
311,3.875,0.07121369987726212,273.625,,
312,10.0,0.08440955728292465,131.125,,
313,3.9375,0.1101730540394783,388.875,,
314,10.0,0.06399504840373993,171.625,,
315,7.8125,0.11473401635885239,362.0,,
316,8.0,0.0644984245300293,271.0,,
317,8.625,0.08162148296833038,198.125,,
318,5.625,0.17257335782051086,140.125,,
319,4.6875,0.21229182183742523,312.0,,
320,6.3125,0.049551092088222504,340.125,6.650484561920166,281.2516784667969
321,8.6875,0.06903591006994247,279.375,,
322,4.0,0.05802508816123009,537.375,,
323,4.875,0.042097244411706924,391.25,,
324,4.21875,0.0630006268620491,542.125,,
325,7.5,0.022684751078486443,162.0,,
326,6.0,0.11762842535972595,152.5,,
327,7.0,0.17195852100849152,262.75,,
328,7.875,0.07620548456907272,189.625,,
329,6.8125,0.181070938706398,220.75,,
330,5.1875,0.2290389984846115,181.75,,
331,6.625,0.16652531921863556,198.75,,
332,5.0,0.16440172493457794,108.0,,
333,6.75,0.2749991714954376,187.25,,
334,5.875,0.09582594037055969,187.75,,
335,4.5,0.1351793259382248,143.625,,
336,6.5625,0.05326159670948982,217.5,,
337,10.0,0.10714663565158844,279.25,,
338,2.25,0.10734904557466507,534.375,,
339,5.375,0.05640169605612755,287.0,,
340,8.625,0.08660091459751129,261.375,,
341,9.125,0.1155431717634201,356.5,,
342,3.3125,0.056282661855220795,430.125,,
343,10.0,0.06594440340995789,133.875,,
344,4.125,0.2529228925704956,345.125,,
345,10.0,0.08993898332118988,152.625,,
346,6.4375,0.20752406120300293,252.75,,
347,5.6875,0.18287788331508636,333.0,,
348,10.0,0.12022659927606583,249.375,,
349,5.875,0.0788121446967125,213.75,,
350,8.28125,0.1658787578344345,260.375,,
351,8.625,0.0818767175078392,278.625,,
352,2.0625,0.1444251537322998,543.25,,
353,7.8125,0.06509038805961609,321.625,,
354,5.875,0.10987783968448639,283.625,,
355,9.3125,0.0735415667295456,353.125,,
356,5.1875,0.10657055675983429,233.5,,
357,10.0,0.15007513761520386,245.25,,
358,9.3125,0.1522117704153061,336.375,,
359,8.0,0.0844593420624733,177.0,,
360,7.5,0.16647469997406006,184.875,,
361,9.3125,0.18593338131904602,237.0,,
362,6.5625,0.10602929443120956,275.375,,
363,10.0,0.09760738909244537,188.625,,
364,9.3125,0.13529729843139648,264.875,,
365,10.0,0.07212749868631363,187.125,,
366,7.6875,0.08603939414024353,272.75,,
367,6.5,0.17842350900173187,177.5,,
368,7.9375,0.20743004977703094,184.25,,
369,8.0,0.16525855660438538,456.875,,
370,7.40625,0.08525694906711578,224.125,,
371,5.375,0.12480418384075165,322.0,,
372,7.25,0.0738111063838005,161.625,,
373,5.4375,0.2514982521533966,449.875,,
374,3.25,0.09977561235427856,306.125,,
375,6.0625,0.08304716646671295,351.375,,
376,7.0,0.08785364776849747,236.375,,
377,7.8125,0.14683468639850616,369.0,,
378,8.625,0.09878847002983093,162.75,,
379,8.625,0.32858991622924805,172.125,,
380,7.0625,0.1534583419561386,429.75,,
381,8.625,0.09149326384067535,150.0,,
382,5.1875,0.20983345806598663,350.5,,
383,5.0,0.07946919649839401,318.625,,
384,5.3125,0.12537625432014465,351.75,6.7272725105285645,318.39105224609375
385,8.625,0.1331505924463272,284.125,,
386,7.4375,0.09798333048820496,320.5,,
387,10.0,0.1270422488451004,203.875,,
388,5.65625,0.10861736536026001,386.625,,
389,4.0625,0.08367259800434113,590.25,,
390,5.625,0.03495433181524277,240.375,,
391,9.46875,0.10549843311309814,164.375,,
392,7.9375,0.11520107835531235,216.375,,
393,6.5,0.19487887620925903,461.625,,
394,6.0625,0.02335559017956257,449.125,,
395,0.125,0.04996941611170769,717.875,,
396,7.25,0.025197109207510948,258.25,,
397,8.0,0.07636626809835434,275.875,,
398,6.0,0.11015315353870392,203.375,,
399,3.9375,0.06203310936689377,322.375,,
400,9.3125,0.07969343662261963,300.25,,
401,10.0,0.11248315125703812,249.625,,
402,7.625,0.11806981265544891,223.625,,
403,9.875,0.16372279822826385,151.875,,
404,4.5,0.3260282278060913,250.125,,
405,5.875,0.10249374806880951,150.625,,
406,8.0,0.30384981632232666,270.0,,
407,5.25,0.11252247542142868,326.625,,
408,6.6875,0.20186226069927216,477.625,,
409,5.5625,0.05234893411397934,289.625,,
410,10.0,0.08048156648874283,213.75,,
411,4.3125,0.08169432729482651,229.625,,
412,4.6875,0.10133209079504013,286.25,,
413,9.3125,0.08697081357240677,255.625,,
414,10.0,0.08318982273340225,331.75,,
415,2.0625,0.05353475362062454,571.75,,
416,10.0,0.05232412368059158,201.625,,
417,7.9375,0.06488513946533203,325.75,,
418,10.0,0.10903312265872955,223.25,,
419,5.0,0.07463068515062332,207.0,,
420,7.25,0.04596446081995964,242.75,,
421,9.125,0.087044857442379,292.5,,
422,1.5,0.08441193401813507,548.0,,
423,10.0,0.05733345448970795,277.75,,
424,4.5625,0.20060200989246368,438.125,,
425,10.0,0.047055959701538086,167.125,,
426,0.4375,0.08528518676757812,669.375,,
427,1.375,0.03169272094964981,544.5,,
428,1.625,0.03762272000312805,522.875,,
429,5.6875,0.07105491310358047,434.5,,
430,8.5,0.12551121413707733,267.5,,
431,10.0,0.0807809978723526,192.125,,
432,4.5,0.136612668633461,246.625,,
433,3.25,0.15803375840187073,413.25,,
434,8.78125,0.06386096775531769,187.625,,
435,10.0,0.14291617274284363,254.375,,
436,8.125,0.07785709947347641,293.75,,
437,5.375,0.16560892760753632,497.0,,
438,3.9375,0.07238827645778656,415.0,,
439,9.125,0.07929336279630661,228.75,,
440,10.0,0.09278446435928345,147.5,,
441,5.21875,0.24511536955833435,421.75,,
442,10.0,0.04611491039395332,199.75,,
443,2.0625,0.09823654592037201,576.75,,
444,10.0,0.050308261066675186,331.0,,
445,9.3125,0.08328500390052795,128.0,,
446,10.0,0.11896568536758423,236.125,,
447,9.3125,0.13057135045528412,177.625,,
448,4.5,0.0730830729007721,244.5,6.807569980621338,332.6199951171875
449,3.6875,0.0886702835559845,567.125,,
450,10.0,0.038141604512929916,150.125,,
451,10.0,0.16738148033618927,171.875,,
452,10.0,0.1648503839969635,272.25,,
453,3.9375,0.05448857694864273,456.375,,
454,10.0,0.05720171332359314,258.5,,
455,10.0,0.13139863312244415,237.625,,
456,5.875,0.09155084192752838,283.375,,
457,10.0,0.10383715480566025,190.5,,
458,10.0,0.07065850496292114,173.25,,
459,3.09375,0.13869117200374603,428.625,,
460,10.0,0.07346091419458389,192.75,,
461,2.9375,0.16306975483894348,420.875,,
462,6.5625,0.08207108080387115,208.0,,
463,10.0,0.07607217133045197,164.0,,
464,5.25,0.18076005578041077,379.75,,
465,2.0625,0.12900549173355103,611.875,,
466,3.875,0.04914838820695877,302.125,,
467,10.0,0.08552475273609161,252.25,,
468,3.25,0.055282287299633026,382.375,,
469,2.4375,0.11829421669244766,537.125,,
470,1.375,0.07203274965286255,682.5,,
471,8.0,0.05787179246544838,285.375,,
472,9.3125,0.063907690346241,364.375,,
473,10.0,0.07969031482934952,131.125,,
474,5.875,0.17327959835529327,285.125,,
475,4.65625,0.10985585302114487,277.25,,
476,10.0,0.09950423985719681,226.5,,
477,4.5625,0.07601525634527206,231.875,,
478,10.0,0.13161538541316986,152.625,,
479,3.4375,0.15078727900981903,568.5,,
480,10.0,0.06765005737543106,269.25,,
481,4.375,0.08745907247066498,312.625,,
482,3.875,0.10678557306528091,390.75,,
483,8.625,0.08062563836574554,205.5,,
484,5.25,0.06968652456998825,238.125,,
485,10.0,0.1052379161119461,163.25,,
486,8.0,0.12079749256372452,305.375,,
487,10.0,0.07426416873931885,236.5,,
488,0.75,0.0665317177772522,700.25,,
489,6.5625,0.03321080282330513,244.75,,
490,8.6875,0.08434778451919556,282.25,,
491,10.0,0.0654461681842804,130.5,,
492,6.5625,0.39168187975883484,275.0,,
493,2.5625,0.07916027307510376,597.25,,
494,10.0,0.05095599591732025,191.5,,
495,8.625,0.08079859614372253,359.75,,
496,3.59375,0.06753548979759216,429.125,,
497,5.9375,0.07746165245771408,256.5,,
498,9.3125,0.12339649349451065,204.375,,
499,0.75,0.055612340569496155,652.75,,
500,10.0,0.03393123671412468,160.875,,
501,8.625,0.14239171147346497,315.125,,
502,6.625,0.11404310911893845,366.875,,
503,4.375,0.040504902601242065,398.25,,
504,5.1875,0.06507540494203568,178.0,,
505,7.9375,0.15045520663261414,194.375,,
506,4.5,0.12107609957456589,227.75,,
507,8.9375,0.2024257332086563,396.625,,
508,4.9375,0.09170900285243988,333.875,,
509,10.0,0.15802840888500214,234.25,,
510,6.125,0.062488190829753876,354.5,,
511,4.0625,0.12351248413324356,587.625,,
512,7.75,0.08138564229011536,181.75,7.105197429656982,286.784423828125
513,10.0,0.17909902334213257,189.875,,
514,10.0,0.10002093017101288,155.75,,
515,10.0,0.1425461620092392,180.0,,
516,3.875,0.22006946802139282,347.5,,
517,5.375,0.1518450230360031,490.0,,
518,8.9375,0.09233640134334564,189.625,,
519,4.5,0.17449600994586945,224.0,,
520,7.75,0.15242668986320496,369.5,,
521,6.6875,0.06675872206687927,358.875,,
522,10.0,0.12449708580970764,208.125,,
523,5.0,0.13669021427631378,217.0,,
524,4.5,0.20889876782894135,129.625,,
525,9.3125,0.25763988494873047,237.875,,
526,1.4375,0.195419043302536,699.25,,
527,8.625,0.02848910540342331,153.875,,
528,5.5,0.31554198265075684,117.0,,
529,4.75,0.32280412316322327,410.375,,
530,7.25,0.14014571905136108,299.5,,
531,6.4375,0.19051766395568848,320.75,,
532,4.9375,0.08348871022462845,408.375,,
533,3.375,0.10755366086959839,433.375,,
534,9.3125,0.10781775414943695,268.875,,
535,1.53125,0.08508371561765671,575.625,,
536,3.78125,0.09632650017738342,360.25,,
537,0.875,0.08816608041524887,645.375,,
538,8.6875,0.06447333842515945,339.0,,
539,5.875,0.07495838403701782,194.5,,
540,10.0,0.19461128115653992,260.75,,
541,10.0,0.11036863923072815,196.875,,
542,5.875,0.16374249756336212,222.375,,
543,7.96875,0.12978409230709076,294.75,,
544,6.5625,0.07325516641139984,221.375,,
545,8.625,0.12105819582939148,201.0,,
546,9.3125,0.24738860130310059,328.875,,
547,5.0,0.1467856764793396,261.25,,
548,4.625,0.10142296552658081,447.625,,
549,7.0625,0.10101332515478134,330.875,,
550,9.3125,0.08907639980316162,257.375,,
551,8.625,0.18927882611751556,149.625,,
552,10.0,0.18859943747520447,165.25,,
553,4.5,0.14561040699481964,263.375,,
554,3.25,0.15614555776119232,624.375,,
555,9.46875,0.07278023660182953,309.875,,
556,8.625,0.16820017993450165,148.125,,
557,4.5,0.35584715008735657,320.125,,
558,2.125,0.08790120482444763,656.0,,
559,5.46875,0.050472691655159,418.875,,
560,5.375,0.0661282017827034,448.75,,
561,4.5625,0.03521542251110077,338.875,,
562,2.625,0.1586732715368271,519.875,,
563,10.0,0.0821465253829956,240.375,,
564,10.0,0.11929896473884583,276.625,,
565,5.5625,0.0656328797340393,407.5,,
566,4.75,0.12470744550228119,411.125,,
567,4.6875,0.11337199062108994,243.25,,
568,9.3125,0.1642238050699234,169.0,,
569,8.0,0.16697625815868378,273.625,,
570,8.6875,0.1380244493484497,390.0,,
571,10.0,0.059500642120838165,223.875,,
572,4.6875,0.12720507383346558,168.0,,
573,10.0,0.20072029531002045,159.375,,
574,9.46875,0.3079651892185211,247.375,,
575,10.0,0.18384890258312225,164.0,,
576,2.125,0.2259352207183838,643.0,7.028576374053955,298.7650451660156
577,2.125,0.09007527679204941,671.875,,
578,10.0,0.06119433045387268,256.125,,
579,8.625,0.045960862189531326,324.625,,
580,10.0,0.14071379601955414,292.625,,
581,9.3125,0.07195506244897842,204.875,,
582,7.9375,0.16539999842643738,239.875,,
583,1.9375,0.10627226531505585,632.0,,
584,8.625,0.030931871384382248,217.875,,
585,5.1875,0.1237647607922554,266.375,,
586,10.0,0.08885014802217484,148.875,,
587,9.3125,0.11437644064426422,233.125,,
588,2.84375,0.13112634420394897,581.625,,
589,4.03125,0.05908488482236862,292.0,,
590,7.75,0.158878356218338,315.625,,
591,4.03125,0.07020959258079529,268.875,,
592,6.1875,0.10680565237998962,308.75,,
593,10.0,0.14837267994880676,322.25,,
594,6.75,0.10609697550535202,177.125,,
595,6.5625,0.14512203633785248,334.5,,
596,10.0,0.07261767983436584,195.625,,
597,10.0,0.08771175146102905,143.0,,
598,10.0,0.1523515284061432,178.0,,
599,4.5,0.15945225954055786,187.0,,
600,9.375,0.12462928146123886,272.25,,
601,10.0,0.11607690900564194,187.375,,
602,10.0,0.05563077703118324,164.25,,
603,6.9375,0.14901264011859894,381.375,,
604,4.5,0.06867317110300064,227.75,,
605,9.3125,0.12418390065431595,274.5,,
606,9.3125,0.06433908641338348,213.25,,
607,7.375,0.10172873735427856,567.125,,
608,2.25,0.05916239321231842,557.375,,
609,5.875,0.040367092937231064,182.25,,
610,8.5,0.1932421773672104,180.625,,
611,4.96875,0.08295680582523346,419.875,,
612,5.59375,0.07638314366340637,235.25,,
613,10.0,0.11189857125282288,236.375,,
614,6.25,0.08939800411462784,283.25,,
615,10.0,0.11168535053730011,191.125,,
616,10.0,0.16444659233093262,246.5,,
617,6.5625,0.08565378934144974,184.375,,
618,3.9375,0.18522408604621887,326.625,,
619,8.625,0.05025814473628998,305.625,,
620,7.875,0.07591777294874191,252.5,,
621,4.84375,0.09774365276098251,346.5,,
622,6.375,0.1095934584736824,318.25,,
623,5.8125,0.0753035768866539,344.5,,
624,9.3125,0.06454702466726303,237.375,,
625,2.5,0.11644788086414337,593.875,,
626,2.6875,0.05551628768444061,589.125,,
627,10.0,0.053693756461143494,341.875,,
628,3.875,0.04968547448515892,377.375,,
629,9.8125,0.06163778156042099,478.0,,
630,6.5625,0.10293162614107132,234.125,,
631,5.875,0.10549135506153107,267.75,,
632,4.5,0.15157638490200043,257.25,,
633,10.0,0.1671881526708603,305.25,,
634,4.5,0.06796038895845413,223.75,,
635,7.25,0.14608114957809448,192.625,,
636,4.5625,0.1174054741859436,257.375,,
637,6.1875,0.13983921706676483,453.75,,
638,2.0,0.08885392546653748,622.75,,
639,7.5,0.05657655745744705,284.25,,
